Time (s),dp (N/m²),X O2 (%),X CO2 (%),T_MS1 (K),Light signal (-)
0,49.40546161,20.94893708,0.039557497,292.75,1
3,49.0889773,20.95097246,0.039557497,292.7166667,1
6,48.9872502,20.95422905,0.03919545,292.75,1
9,48.97594719,20.95056538,0.040100569,292.7166667,1
12,48.96464418,20.94995477,0.040281593,292.65,1
15,48.64815987,20.94975123,0.038833402,292.6833333,1
18,48.64815987,20.95137953,0.040100569,292.6833333,1
21,49.05506827,20.95158307,0.041005688,292.65,1
24,49.51849173,20.94812293,0.03919545,292.65,1
27,48.99855321,20.94588402,0.037023164,292.6833333,1
30,49.0889773,20.95015831,0.03919545,292.65,1
33,49.0889773,20.95117599,0.039557497,292.6833333,1
36,48.9872502,20.94832647,0.041910807,292.65,1
39,49.83497604,20.94690171,0.042634902,292.65,1
42,49.07767429,20.94954769,0.041910807,292.65,1
45,49.42806764,20.95056538,0.041186711,292.6833333,1
48,48.97594719,20.94690171,0.041005688,292.65,1
51,48.96464418,20.94608756,0.039919545,292.65,1
54,49.41676463,20.94669817,0.041005688,292.65,1
57,49.40546161,20.94995477,0.039919545,292.65,1
60,49.42806764,20.95260075,0.038833402,292.5833333,1
63,48.97594719,20.95056538,0.038109307,292.55,1
66,48.64815987,20.94853001,0.040100569,292.5833333,1
69,49.40546161,20.94832647,0.044264116,292.5833333,1
72,49.07767429,20.95056538,0.043902068,292.55,1
75,48.9872502,20.94954769,0.039557497,292.5833333,1
78,48.63685686,20.94751232,0.04064364,292.6833333,1
81,49.41676463,20.94669817,0.041910807,292.65,0.999647639
84,49.0889773,20.94853001,0.03919545,292.6833333,1
87,48.9872502,20.94893708,0.041186711,292.65,1
90,49.40546161,20.94527341,0.04064364,292.6833333,1
93,48.20734244,20.94486634,0.042272854,292.6833333,1
96,48.63685686,20.94486634,0.042815926,292.6833333,1
99,49.41676463,20.94853001,0.042996949,292.6833333,0.999647639
102,49.41676463,20.94771586,0.043358997,292.65,1
105,49.07767429,20.94771586,0.042996949,292.65,1
108,49.40546161,20.94588402,0.043721045,292.65,1
111,49.41676463,20.94568049,0.041367735,292.6833333,1
114,49.10028031,20.94853001,0.041729783,292.6833333,1
