Time (s),dp (N/m²),X O2 (%),X CO2 (%),T_MS1 (K),Light signal (-)
0,56.01772312,20.95239405,0.041406643,292.25,1
3,55.93860204,20.95157988,0.04448745,292.25,1
6,55.96120807,20.95239405,0.045574793,292.4833333,1
9,56.910661,20.95178342,0.042493986,292.2833333,1
12,56.45854056,20.95137634,0.042131539,292.35,1
15,56.05163215,20.95076571,0.04267521,292.3166667,1
18,55.93860204,20.95280114,0.042493986,292.35,1
21,55.59951171,20.95300468,0.045937241,292.35,1
24,55.5882087,20.95259759,0.045393569,292.3833333,1
27,55.61081472,20.95300468,0.04448745,292.35,1
30,55.21520933,20.95361531,0.046480913,292.45,1
33,55.16999729,20.95117279,0.042312763,292.5166667,1
36,55.61081472,20.95198697,0.042493986,292.45,1
39,56.49244959,20.95117279,0.041950315,292.4833333,1
42,56.49244959,20.95117279,0.041587867,292.4833333,1
45,55.59951171,20.95117279,0.039775628,292.55,1
48,55.5882087,20.94974799,0.044849898,292.55,1
51,55.59951171,20.95076571,0.043762554,292.5833333,1
54,56.05163215,20.95076571,0.047568257,292.4833333,1
57,55.93860204,20.94852674,0.043762554,292.6166667,1
60,55.50908762,20.94791611,0.040138075,292.5833333,1
63,56.05163215,20.94852674,0.042493986,292.5166667,1
66,56.46984357,20.9483232,0.042856434,292.65,1
69,56.45854056,20.9468984,0.042131539,292.5166667,1
72,56.37941948,20.94750902,0.038688284,292.6166667,1
75,56.48114658,20.94730548,0.045937241,292.65,1
78,55.93860204,20.9483232,0.043037658,292.65,1
81,56.02902613,20.94893382,0.044125002,292.6833333,0.999637418
84,56.8089339,20.94954445,0.045393569,292.7166667,0.999637418
87,57.24975133,20.95015508,0.04358133,292.6833333,0.999637418
90,56.36811647,20.95198697,0.043762554,292.65,0.999637418
93,56.06293517,20.95300468,0.044306226,292.6833333,0.999637418
96,56.48114658,20.95239405,0.042131539,292.6833333,0.999637418
99,56.79763089,20.95259759,0.042312763,292.6833333,0.999637418
102,56.24378334,20.95422594,0.042493986,292.7166667,0.999637418
105,56.02902613,20.95300468,0.047930704,292.7166667,0.999637418
108,55.59951171,20.95280114,0.039775628,292.6833333,0.999637418
111,55.50908762,20.95239405,0.040681747,292.75,0.999637418
114,55.16999729,20.95198697,0.041225419,292.75,0.999637418
117,55.91599602,20.95137634,0.041587867,292.8166667,0.999637418
120,56.39072249,20.95117279,0.042131539,292.7833333,0.999637418
123,56.8089339,20.95096925,0.04358133,292.6166667,0.999637418
126,56.45854056,20.90659692,0.051555183,298.25,0.999637418
129,56.37941948,20.80665741,0.084719162,307.1166667,0.995649021
132,55.16999729,20.72442612,0.124769651,311.55,0.990572879
135,54.61614974,20.69694784,0.155396496,311.2833333,0.990210297
138,55.15869428,20.69185927,0.171706649,311.5833333,0.988397389
141,57.26105434,20.69206281,0.180767846,312.35,0.988397389
144,59.49905055,20.68799196,0.187110683,313.1166667,0.989485134
147,59.95117099,20.68147859,0.199071463,313.1833333,0.989122553
150,59.8607469,20.68208922,0.207407764,311.85,0.987672226
153,59.52165657,20.68453173,0.21139469,312.8166667,0.987309645
156,59.8607469,20.68229276,0.210669795,314.3166667,0.988397389
159,59.49905055,20.68595653,0.215019169,311.65,0.9862219
162,59.83814088,20.69226636,0.209220003,313.05,0.988397389
165,59.82683787,20.68860258,0.215562841,313.9166667,0.987309645
168,59.93986798,20.68269984,0.217193856,313.9833333,0.987672226
171,59.51035356,20.68269984,0.219187319,313.25,0.986947063
174,59.92856497,20.68799196,0.218462424,312.95,0.988759971
177,59.49905055,20.68799196,0.219368543,313.75,0.988034808
180,59.41992947,20.68331047,0.2182812,313.55,0.988397389
183,59.48774754,20.68188567,0.222811798,313.85,0.988397389
186,58.99041505,20.68269984,0.224442813,314.55,0.985859318
189,59.41992947,20.68290339,0.223899141,314.5833333,0.988397389
192,60.69716973,20.6824963,0.228067292,313.7833333,0.987309645
195,60.27895831,20.68554944,0.224080365,314.25,0.987672226
198,60.27895831,20.68738133,0.228067292,313.9166667,0.987309645
201,60.29026133,20.68799196,0.22154323,314.3833333,0.9862219
204,60.38068541,20.68717779,0.222630574,314.65,0.985859318
207,60.22244326,20.6867707,0.22335547,314.8833333,0.985859318
210,60.2676553,20.68839904,0.225348933,314.65,0.985859318
213,59.41992947,20.68839904,0.224442813,315.2833333,0.984771574
216,59.83814088,20.68778841,0.225530157,314.5833333,0.986584482
219,60.38068541,20.68778841,0.22335547,315.35,0.985134155
222,59.84944389,20.68839904,0.221905678,314.5166667,0.985496737
225,59.39732345,20.69063801,0.223174246,314.8833333,0.988034808
228,59.40862646,20.69043447,0.222630574,315.65,0.986584482
231,59.82683787,20.68921321,0.225530157,315.2833333,0.988034808
234,59.51035356,20.68982384,0.224442813,315.0833333,0.985859318
237,59.49905055,20.69084156,0.22154323,315.4166667,0.987309645
240,59.34080839,20.6881955,0.225711381,315.8833333,0.988034808
243,58.65132471,20.68656716,0.221905678,316.1166667,0.988759971
246,59.40862646,20.68595653,0.222630574,315.8166667,0.986947063
249,58.97911204,20.68493881,0.223174246,316.45,0.984408992
252,59.41992947,20.68412464,0.222811798,316.1833333,0.987672226
255,59.41992947,20.68575299,0.220274663,316.25,0.987309645
258,59.48774754,20.68636361,0.222811798,314.75,0.985859318
261,59.83814088,20.6881955,0.220818335,315.4166667,0.986584482
264,59.93986798,20.68697424,0.221362006,315.3833333,0.984771574
267,60.38068541,20.68697424,0.219187319,315.6166667,0.98404641
270,59.49905055,20.68554944,0.218824871,316.75,0.984771574
273,59.95117099,20.68453173,0.219730991,316.4833333,0.986584482
276,60.68586671,20.68595653,0.220999559,315.85,0.986947063
279,59.95117099,20.68554944,0.220274663,316.65,0.986584482
282,59.95117099,20.68432819,0.225167709,316.9166667,0.985496737
285,59.51035356,20.68616007,0.220093439,316.1833333,0.985134155
288,59.52165657,20.68717779,0.22244935,316.25,0.987672226
291,59.53295958,20.68697424,0.220818335,316.5166667,0.985496737
294,59.51035356,20.68799196,0.219730991,316.4833333,0.986584482
297,60.71977575,20.69023093,0.219187319,317.25,0.985134155
300,59.52165657,20.69023093,0.21646896,317.3833333,0.985859318
303,59.84944389,20.76350633,0.20034003,305.7833333,0.986584482
306,59.8607469,20.83271089,0.172612769,303.2166667,0.995286439
309,60.82150285,20.78508187,0.163732796,310.2166667,0.994561276
312,60.82150285,20.73236429,0.182217637,313.05,0.980058013
315,59.84944389,20.71343481,0.190916386,311.95,0.975707034
318,59.51035356,20.70508955,0.196353104,313.2166667,0.977519942
321,60.27895831,20.6967443,0.202695942,312.5166667,0.976069616
324,59.8607469,20.68636361,0.209763675,313.3166667,0.976069616
