Test MM3,
Time (s),Flame Heights (m)
19,1.315822785
19.03571429,0.66835443
19.07142857,0.715822785
19.10714286,0.820253165
19.14285714,0.936075949
19.17857143,0.962658228
19.21428571,1.108860759
19.25,1.108860759
19.28571429,1.078481013
19.32142857,1.021518987
19.35714286,1.165822785
19.39285714,1.217088608
19.42857143,1.112658228
19.46428571,1.2
19.5,1.28164557
19.53571429,0.905696203
19.57142857,0.905696203
19.60714286,0.985443038
19.64285714,0.81835443
19.67857143,0.9
19.71428571,1.091772152
19.75,1.190506329
19.78571429,1.315822785
19.82142857,1.287341772
19.85714286,0.687341772
19.89285714,0.685443038
19.92857143,0.852531646
19.96428571,1.002531646
20,1.036708861
20.03571429,1.198101266
20.07142857,1.382278481
20.10714286,1.551265823
20.14285714,0.757594937
20.17857143,0.835443038
20.21428571,0.970253165
20.25,0.970253165
20.28571429,1.012025316
20.32142857,1.167721519
20.35714286,1.323417722
20.39285714,1.498101266
20.42857143,1.636708861
20.46428571,0.662658228
20.5,0.677848101
20.53571429,0.738607595
20.57142857,0.742405063
20.60714286,0.9
20.64285714,1.05
20.67857143,1.07278481
20.71428571,1.182911392
20.75,1.346202532
20.78571429,1.332911392
20.82142857,1.108860759
20.85714286,0.951265823
20.89285714,0.951265823
20.92857143,0.911392405
20.96428571,0.881012658
39,0.721518987
39.03571429,0.829746835
39.07142857,0.937974684
39.10714286,1.05
39.14285714,1.237974684
39.17857143,1.344303797
39.21428571,1.488607595
39.25,1.488607595
39.28571429,1.120253165
39.32142857,1.046202532
39.35714286,0.881012658
39.39285714,0.98164557
39.42857143,0.862025316
39.46428571,0.996835443
39.5,1.029113924
39.53571429,0.799367089
39.57142857,0.799367089
39.60714286,0.911392405
39.64285714,1.061392405
39.67857143,1.201898734
39.71428571,1.332911392
39.75,1.287341772
39.78571429,1.141139241
39.82142857,0.896202532
39.85714286,0.905696203
39.89285714,0.9
39.92857143,1.13164557
39.96428571,1.048101266
40,1.15443038
40.03571429,1.391772152
40.07142857,1.201898734
40.10714286,1.255063291
40.14285714,1.190506329
40.17857143,0.677848101
40.21428571,0.647468354
40.25,0.647468354
40.28571429,0.761392405
40.32142857,0.816455696
40.35714286,0.875316456
40.39285714,1.021518987
40.42857143,1.2
40.46428571,0.653164557
40.5,0.768987342
40.53571429,0.881012658
40.57142857,0.881012658
40.60714286,1.02721519
40.64285714,1.224683544
40.67857143,1.122151899
40.71428571,1.232278481
40.75,1.308227848
40.78571429,1.209493671
40.82142857,1.141139241
40.85714286,0.693037975
40.89285714,0.693037975
40.92857143,0.677848101
40.96428571,0.738607595
59,1.636708861
59.03571429,1.636708861
59.07142857,1.562658228
59.10714286,1.636708861
59.14285714,1.636708861
59.17857143,1.239873418
59.21428571,1.224683544
59.25,1.258860759
59.28571429,1.315822785
59.32142857,1.518987342
59.35714286,1.534177215
59.39285714,1.636708861
59.42857143,1.636708861
59.46428571,1.636708861
59.5,1.638607595
59.53571429,1.636708861
59.57142857,1.357594937
59.60714286,1.41835443
59.64285714,1.526582278
59.67857143,1.58164557
59.71428571,1.634810127
59.75,1.634810127
59.78571429,1.636708861
59.82142857,1.636708861
59.85714286,1.507594937
59.89285714,1.60443038
59.92857143,1.228481013
59.96428571,1.32721519
60,1.376582278
60.03571429,1.452531646
60.07142857,1.513291139
60.10714286,1.636708861
60.14285714,1.636708861
60.17857143,1.638607595
60.21428571,1.532278481
60.25,1.091772152
60.28571429,1.285443038
60.32142857,1.452531646
60.35714286,1.598734177
60.39285714,1.638607595
60.42857143,1.636708861
60.46428571,1.636708861
60.5,1.634810127
60.53571429,1.636708861
60.57142857,1.471518987
60.60714286,1.319620253
60.64285714,1.370886076
60.67857143,1.543670886
60.71428571,1.634810127
60.75,1.638607595
60.78571429,1.636708861
60.82142857,1.636708861
60.85714286,1.636708861
60.89285714,1.636708861
60.92857143,1.60443038
60.96428571,1.634810127
79,1.640506329
79.03571429,1.636708861
79.07142857,1.636708861
79.10714286,1.634810127
79.14285714,1.634810127
79.17857143,1.636708861
79.21428571,1.279746835
79.25,1.387974684
79.28571429,1.566455696
79.32142857,1.634810127
79.35714286,1.634810127
79.39285714,1.638607595
79.42857143,1.638607595
79.46428571,1.638607595
79.5,1.638607595
79.53571429,1.636708861
79.57142857,1.634810127
79.60714286,1.638607595
79.64285714,1.638607595
79.67857143,1.406962025
79.71428571,1.536075949
79.75,1.591139241
79.78571429,1.629113924
79.82142857,1.629113924
79.85714286,1.638607595
79.89285714,1.636708861
79.92857143,1.636708861
79.96428571,1.634810127
80,1.634810127
80.03571429,1.634810127
80.07142857,1.636708861
80.10714286,1.636708861
80.14285714,1.636708861
80.17857143,1.62721519
80.21428571,1.634810127
80.25,1.608227848
80.28571429,1.636708861
80.32142857,1.640506329
80.35714286,1.638607595
80.39285714,1.636708861
80.42857143,1.634810127
80.46428571,1.634810127
80.5,1.632911392
80.53571429,1.518987342
80.57142857,1.594936709
80.60714286,1.517088608
80.64285714,1.564556962
80.67857143,1.636708861
80.71428571,1.638607595
80.75,1.638607595
80.78571429,1.636708861
80.82142857,1.636708861
80.85714286,1.632911392
80.89285714,1.634810127
80.92857143,1.629113924
80.96428571,1.574050633
99,1.634810127
99.03571429,1.636708861
99.07142857,1.634810127
99.10714286,1.636708861
99.14285714,1.636708861
99.17857143,1.638607595
99.21428571,1.636708861
99.25,1.636708861
99.28571429,1.636708861
99.32142857,1.636708861
99.35714286,1.636708861
99.39285714,1.634810127
99.42857143,1.636708861
99.46428571,1.636708861
