area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
16200,5,3,2,yes,no,no,no,no,0,no,unfurnished,1015000.0
13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished,980000.0
8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished,864500.0
8800,3,2,2,yes,no,no,no,yes,2,no,furnished,857500.0
6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished,854000.0
6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished,812000.0
9000,4,2,4,yes,no,no,no,yes,2,no,furnished,798000.0
6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished,791000.0
6000,4,2,4,yes,no,no,no,yes,1,no,furnished,756000.0
6000,3,2,4,yes,no,no,no,yes,1,no,furnished,752500.0
6600,3,1,4,yes,no,no,no,yes,3,yes,furnished,749000.0
7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished,742000.0
6000,4,2,4,yes,yes,no,no,yes,1,no,furnished,735000.0
6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished,735000.0
11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished,734300.0
9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished,724500.0
7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished,721000.0
6000,3,2,4,yes,yes,no,no,yes,1,no,furnished,721000.0
8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished,707000.0
6240,4,2,2,yes,no,no,no,yes,1,no,furnished,707000.0
6360,4,2,3,yes,no,no,no,yes,2,yes,furnished,703500.0
11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished,700000.0
8880,3,2,2,yes,no,yes,no,yes,1,no,furnished,693000.0
13200,2,1,1,yes,no,yes,yes,no,1,no,furnished,693000.0
6000,3,1,1,yes,no,no,no,yes,1,no,furnished,686000.0
12090,4,2,2,yes,no,no,no,no,2,yes,furnished,679000.0
4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished,679000.0
6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished,675500.0
6420,3,2,3,yes,no,no,no,yes,0,yes,furnished,665000.0
6500,3,2,3,yes,no,no,no,yes,0,yes,furnished,665000.0
