area,bedrooms,basement,furnishingstatus,price
16200,5,no,unfurnished,1015000
13200,3,yes,furnished,980000
8050,3,yes,furnished,864500
8800,3,no,furnished,857500
6540,4,yes,furnished,854000
6840,5,yes,furnished,812000
9000,4,no,furnished,798000
6000,4,no,semi-furnished,791000
6000,4,no,furnished,756000
6000,3,no,furnished,752500
6600,3,no,furnished,749000
7440,3,yes,semi-furnished,742000
6000,4,no,furnished,735000
6000,3,no,semi-furnished,735000
11440,4,yes,semi-furnished,734300
9000,4,no,furnished,724500
7680,4,no,semi-furnished,721000
6000,3,no,furnished,721000
8880,2,no,semi-furnished,707000
6240,4,no,furnished,707000
6360,4,no,furnished,703500
11175,3,yes,furnished,700000
8880,3,yes,furnished,693000
13200,2,yes,furnished,693000
6000,3,no,furnished,686000
12090,4,no,furnished,679000
4000,3,yes,semi-furnished,679000
6000,4,no,unfurnished,675500
6420,3,no,furnished,665000
6500,3,no,furnished,665000
5700,3,yes,furnished,665000
6000,3,no,furnished,665000
4000,3,yes,semi-furnished,661500
10500,3,yes,furnished,661500
6000,3,no,semi-furnished,658000
8250,3,no,furnished,651000
7410,3,yes,unfurnished,647500
8580,5,no,furnished,644000
5000,3,no,semi-furnished,644000
6750,2,yes,furnished,641900
4800,3,no,furnished,640500
7200,3,yes,semi-furnished,630000
6000,4,no,semi-furnished,630000
4100,3,no,semi-furnished,630000
9000,3,,furnished,630000
6400,3,yes,semi-furnished,630000
6600,3,no,unfurnished,629300
6000,4,yes,unfurnished,626500
6600,3,yes,unfurnished,623000
5500,3,no,semi-furnished,619500
6350,3,no,furnished,619500
5500,3,yes,furnished,619500
4500,3,no,unfurnished,616000
5450,4,yes,semi-furnished,616000
6615,4,no,semi-furnished,609000
6600,3,yes,semi-furnished,609000
8372,3,no,unfurnished,609000
4300,6,no,furnished,608300
,3,yes,furnished,608300
6800,2,yes,furnished,602000
8000,3,yes,semi-furnished,602000
6900,3,yes,unfurnished,602000
3700,4,no,furnished,595000
6420,3,yes,furnished,595000
7020,3,yes,semi-furnished,595000
6540,3,yes,furnished,595000
7231,3,yes,semi-furnished,595000
6254,4,yes,semi-furnished,595000
7320,4,no,furnished,595000
6525,3,no,furnished,595000
7160,3,yes,unfurnished,588000
6500,3,no,unfurnished,588000
5500,3,no,furnished,587300
11460,3,no,semi-furnished,587300
4800,3,yes,unfurnished,586600
5828,4,no,semi-furnished,581000
5200,3,no,semi-furnished,581000
4800,3,no,unfurnished,581000
7000,3,yes,semi-furnished,580300
6000,3,no,unfurnished,577500
5400,4,no,unfurnished,574000
4640,4,no,semi-furnished,574000
5000,3,no,semi-furnished,574000
6360,3,yes,furnished,574000
5800,3,no,unfurnished,574000
6660,4,yes,semi-furnished,565250
10500,4,no,semi-furnished,560000
4800,,yes,unfurnished,560000
4700,4,yes,furnished,560000
5000,3,no,furnished,560000
10500,2,no,semi-furnished,560000
5500,3,no,semi-furnished,560000
6360,3,no,semi-furnished,560000
6600,4,yes,semi-furnished,560000
5136,3,yes,unfurnished,560000
4400,4,no,semi-furnished,556500
3650,3,no,semi-furnished,553000
6100,3,yes,furnished,553000
6900,3,yes,semi-furnished,552300
2817,4,yes,furnished,549500
7980,3,no,semi-furnished,549500
3150,3,yes,furnished,546000
6100,3,no,semi-furnished,546000
6600,4,yes,semi-furnished,546000
6825,3,yes,semi-furnished,542500
6710,3,yes,furnished,539000
6450,3,yes,unfurnished,538300
7800,3,yes,unfurnished,532000
4600,2,no,semi-furnished,528500
4260,4,yes,furnished,525000
6540,4,no,,525000
5500,3,yes,semi-furnished,525000
10269,3,no,semi-furnished,525000
8400,3,yes,unfurnished,525000
5300,4,no,unfurnished,525000
3800,3,yes,unfurnished,525000
6050,3,yes,semi-furnished,524300
7085,3,yes,semi-furnished,522900
3180,3,no,semi-furnished,521500
4500,4,yes,semi-furnished,521500
7200,3,yes,furnished,521500
3410,3,no,semi-furnished,514500
7980,3,no,semi-furnished,514500
3000,3,yes,furnished,511000
11410,2,no,furnished,511000
6100,3,yes,semi-furnished,511000
5720,2,no,unfurnished,507500
3540,2,yes,semi-furnished,504000
6600,3,yes,furnished,504000
4800,2,yes,semi-furnished,503300
8150,3,yes,semi-furnished,500500
4410,4,yes,semi-furnished,497000
7686,3,yes,semi-furnished,497000
2800,3,yes,semi-furnished,495600
5948,3,no,semi-furnished,493500
4200,3,no,furnished,490700
4520,3,yes,semi-furnished,490000
4095,3,yes,semi-furnished,490000
4120,2,yes,semi-furnished,490000
5400,4,no,semi-furnished,490000
4770,3,yes,semi-furnished,490000
6300,3,no,semi-furnished,490000
5800,2,yes,semi-furnished,490000
3000,3,yes,semi-furnished,490000
2970,3,no,semi-furnished,490000
6720,3,no,unfurnished,490000
4646,3,yes,semi-furnished,490000
3420,4,yes,semi-furnished,489300
4995,4,yes,semi-furnished,489300
4160,3,no,unfurnished,483000
6040,3,no,semi-furnished,483000
6862,3,no,furnished,483000
4815,2,no,semi-furnished,483000
7000,3,yes,unfurnished,479500
3420,4,no,semi-furnished,476700
6321,3,yes,furnished,476000
10240,2,no,unfurnished,476000
6440,2,no,semi-furnished,475300
5170,3,no,semi-furnished,469000
6000,2,yes,furnished,469000
3630,3,no,semi-furnished,469000
5400,2,no,semi-furnished,469000
4320,3,no,semi-furnished,469000
3745,3,yes,furnished,465500
4160,3,yes,unfurnished,462000
3880,3,yes,semi-furnished,462000
2870,2,yes,semi-furnished,462000
5010,3,yes,semi-furnished,462000
4510,4,yes,semi-furnished,461300
4000,3,no,furnished,458500
3840,3,no,semi-furnished,458500
3760,3,no,semi-furnished,455000
3640,3,no,furnished,455000
2550,3,yes,furnished,455000
5320,3,yes,semi-furnished,455000
5360,3,no,unfurnished,455000
3520,3,no,semi-furnished,455000
8400,4,no,unfurnished,455000
4100,2,yes,semi-furnished,454300
4990,4,yes,furnished,454300
3510,3,no,semi-furnished,451500
3450,3,yes,semi-furnished,451500
9860,3,no,semi-furnished,451500
3520,2,no,furnished,451500
4510,4,no,semi-furnished,448000
5885,2,no,unfurnished,448000
4000,3,no,furnished,448000
8250,3,no,furnished,448000
4040,3,no,semi-furnished,448000
6360,2,yes,furnished,447300
3162,3,no,furnished,447300
3510,3,no,semi-furnished,447300
3750,2,yes,semi-furnished,444500
3968,3,no,semi-furnished,441000
4900,2,yes,semi-furnished,441000
2880,3,no,semi-furnished,440300
